2019-04-08 11:19:26,189 [17] DEBUG Zoo.CaptchaCore.GraphicsStrategies.AGraphicsStrategy [(null)] - 0 Rectangle[x:18,y:5,width:24,height:29] Points:x:26.71582,y:23.24609
x:20.49023,y:24.12305
x:21.19061,y:21.61755
x:22.39453,y:19.76361
x:24.10352,y:18.55817
x:25.8125,y:17.35425
x:28.35156,y:16.75153
x:31.7207,y:15.75
x:34.78162,y:14.75153
x:37.05975,y:15.11469
x:38.55664,y:15.83795
x:40.05505,y:17.56274
x:41.10791,y:18.48285
x:41.71826,y:19.59674
x:42.32861,y:21.71216
x:42.63379,y:23.75836
x:42.63379,y:26.73535
x:42.56055,y:32.74316
x:42.56055,y:35.02283
x:42.67041,y:36.70435
x:42.89014,y:37.78619
x:43.10986,y:38.86957
x:43.52185,y:41.02771
x:44.12305,y:42.26367
x:37.33594,y:41.26367
x:37.15741,y:40.80896
x:36.93768,y:40.13452
x:36.67676,y:39.2373
x:36.56384,y:39.83142
x:36.48145,y:39.56287
x:36.43262,y:39.43164
x:35.26074,y:40.573
x:34.008,y:41.42749
x:32.67285,y:41.99664
x:31.33923,y:42.5658
x:29.91406,y:42.84961
x:28.40039,y:43.84961
x:25.73163,y:43.84961
x:23.62744,y:43.12787
x:22.08936,y:40.67828
x:20.55127,y:39.23022
x:19.78223,y:36.39917
x:19.78223,y:34.18359
x:19.78223,y:32.72028
x:20.13318,y:31.41412
x:20.83203,y:30.26666
x:21.53241,y:29.1192
x:22.51355,y:28.2403
x:23.77393,y:27.62994
x:25.03583,y:27.01959
x:26.85468,y:26.48706
x:29.23047,y:26.0293
x:32.43787,y:26.4281
x:34.65955,y:25.86658
x:35.89551,y:25.34473
x:35.89551,y:24.66113
x:35.89551,y:23.3443
x:35.5705,y:22.40436
x:34.91895,y:20.84283
x:34.26892,y:20.28131
x:33.03906,y:20.00055
x:31.23242,y:19.99902
x:30.01172,y:20.00055
x:29.05957,y:21.24164
x:28.37598,y:21.72076
x:27.69238,y:22.20142
x:27.14001,y:23.0437
x:26.71582,y:23.24609
x:35.89551,y:30.8125
x:35.0166,y:31.10699
x:33.625,y:31.45795
x:31.7207,y:30.86383
x:29.81641,y:31.27124
x:28.57129,y:31.66949
x:27.98535,y:32.05859
x:27.09119,y:32.69489
x:26.64258,y:33.50055
x:26.64258,y:34.47559
x:26.64258,y:35.43689
x:27.00116,y:36.26849
x:27.7168,y:37.96735
x:28.43396,y:38.66772
x:29.34491,y:39.01715
x:30.45117,y:39.01562
x:31.68866,y:39.01715
x:32.86816,y:38.60974
x:33.99121,y:37.79492
x:34.82129,y:37.17847
x:35.36755,y:36.42163
x:35.62695,y:35.52441
x:35.80701,y:34.94
x:35.89551,y:33.82458
x:35.89551,y:32.17969

2019-04-08 11:19:26,210 [17] DEBUG Zoo.CaptchaCore.GraphicsStrategies.AGraphicsStrategy [(null)] - 1 Rectangle[x:42,y:5,width:30,height:39] Points:x:45.66211,y:4.472656
x:59.96875,y:8.472656
x:62.80078,y:7.474182
x:64.9126,y:6.593201
x:66.3042,y:6.828186
x:67.6958,y:7.064697
x:68.94092,y:6.557556
x:70.03955,y:7.305237
x:71.13818,y:7.054443
x:72.05371,y:8.050842
x:72.78613,y:10.29596
x:73.51855,y:11.54108
x:73.88477,y:13.93726
x:73.88477,y:15.48145
x:73.88477,y:17.15991
x:73.43311,y:18.698
x:72.52979,y:20.09723
x:71.62646,y:21.49799
x:70.40271,y:22.54626
x:68.85547,y:23.24512
x:71.03748,y:24.88141
x:72.71289,y:26.96478
x:73.88477,y:28.49371
x:75.05664,y:29.02417
x:75.64258,y:29.82166
x:75.64258,y:31.8877
x:75.64258,y:33.51733
x:75.26416,y:35.09967
x:74.50732,y:35.63776
x:73.75049,y:37.17584
x:72.71747,y:38.4057
x:71.40674,y:39.32428
x:70.09753,y:41.24438
x:68.48163,y:41.80896
x:66.56055,y:42.01953
x:65.35663,y:42.15076
x:62.45135,y:43.23315
x:57.84473,y:43.26367
x:45.66211,y:40.26367
x:52.88867,y:13.42969
x:52.88867,y:21.70605
x:57.625,y:20.70605
x:60.44177,y:19.70758
x:62.19043,y:18.66638
x:62.87402,y:18.58398
x:64.11151,y:18.43903
x:65.0835,y:18.01178
x:65.7915,y:17.30377
x:66.49951,y:17.59576
x:66.85352,y:15.66345
x:66.85352,y:14.50684
x:66.85352,y:13.4021
x:66.54834,y:12.50336
x:65.93799,y:12.81061
x:65.32764,y:12.11938
x:64.42126,y:11.69977
x:63.21582,y:12.55176
x:62.50018,y:12.47241
x:60.44177,y:12.43121
x:57.03906,y:13.42969
x:52.88867,y:25.66309
x:52.88867,y:35.2334
x:59.57812,y:36.2334
x:62.1828,y:37.23492
x:63.83533,y:38.16168
x:64.53418,y:38.01367
x:65.6084,y:37.81989
x:66.48425,y:37.34381
x:67.15869,y:36.58698
x:67.83466,y:35.83014
x:68.17188,y:34.81696
x:68.17188,y:33.5459
x:68.17188,y:32.47321
x:67.91248,y:30.56226
x:67.39062,y:29.81305
x:66.8703,y:29.06537
x:66.11804,y:27.5191
x:65.13232,y:27.17731
x:64.14813,y:26.83551
x:62.0119,y:25.66461
x:58.72363,y:24.66309

2019-04-08 11:19:26,210 [17] DEBUG Zoo.CaptchaCore.GraphicsStrategies.AGraphicsStrategy [(null)] - 2 Rectangle[x:72,y:5,width:24,height:28] Points:x:98.19629,y:23.00195
x:91.43359,y:24.22266
x:91.20624,y:23.87378
x:90.68896,y:22.85602
x:89.8833,y:22.17242
x:89.07764,y:21.48883
x:88.03241,y:22.14703
x:86.74609,y:22.14551
x:85.03711,y:22.14703
x:83.6745,y:22.73755
x:82.65674,y:23.91705
x:81.6405,y:25.09808
x:81.13086,y:27.07104
x:81.13086,y:29.83594
x:81.13086,y:31.91364
x:81.64813,y:34.08649
x:82.68115,y:34.35602
x:83.7157,y:35.62555
x:85.10272,y:36.26031
x:86.84375,y:37.25879
x:88.14685,y:37.26031
x:89.21191,y:36.89105
x:90.04199,y:36.14948
x:90.87207,y:35.40942
x:91.45801,y:34.13531
x:91.7998,y:32.32715
x:98.53809,y:34.47461
x:97.83923,y:37.56909
x:96.49646,y:39.90521
x:94.50977,y:41.48297
x:92.5246,y:43.06226
x:89.86346,y:43.84961
x:86.52637,y:42.84961
x:82.73456,y:42.84961
x:79.71179,y:40.65485
x:77.45654,y:39.26227
x:75.20282,y:36.86969
x:74.0752,y:34.55701
x:74.0752,y:29.32422
x:74.0752,y:25.04565
x:75.2074,y:20.71313
x:77.46875,y:18.32819
x:79.73163,y:15.94476
x:82.79102,y:15.75153
x:86.64844,y:16.75
x:89.80701,y:16.75153
x:92.31708,y:17.43207
x:94.18018,y:17.7901
x:96.0448,y:18.14966
x:97.383,y:20.22028
x:98.19629,y:23.00195

2019-04-08 11:19:26,210 [17] DEBUG Zoo.CaptchaCore.GraphicsStrategies.AGraphicsStrategy [(null)] - 3 Rectangle[x:28,y:40,width:25,height:39] Points:x:55.36816,y:77.26367
x:48.99609,y:76.26367
x:48.99609,y:71.45508
x:47.93866,y:72.93823
x:46.68896,y:75.04144
x:45.24854,y:75.76471
x:43.80811,y:76.48798
x:42.35547,y:77.84961
x:40.89062,y:77.84961
x:37.91211,y:78.84961
x:35.36084,y:78.65179
x:33.23682,y:75.25006
x:31.11279,y:71.84985
x:30.05078,y:66.50055
x:30.05078,y:62.20215
x:30.05078,y:59.80914
x:31.08533,y:56.46899
x:33.15137,y:54.1817
x:35.21893,y:51.89594
x:37.83124,y:49.75153
x:40.98828,y:48.75
x:43.88593,y:49.75153
x:46.39294,y:51.95544
x:48.50781,y:55.36328
x:48.50781,y:39.47266
x:55.36816,y:41.47266
x:37.05762,y:63.73828
x:37.05762,y:66.50623
x:37.44061,y:69.50818
x:38.20508,y:70.74414
x:39.31287,y:73.53552
x:40.85858,y:73.43121
x:42.84375,y:72.42969
x:44.42303,y:72.43121
x:45.76581,y:71.75983
x:46.87207,y:70.41705
x:47.97986,y:69.07428
x:48.53223,y:67.06775
x:48.53223,y:64.39746
x:48.53223,y:62.42047
x:47.99512,y:61.27661
x:46.9209,y:59.96588
x:45.84668,y:57.65668
x:44.47186,y:56.00055
x:42.79492,y:55.99902
x:41.16833,y:55.00055
x:39.8042,y:55.64752
x:38.70557,y:56.94147
x:37.60693,y:58.23541
x:37.05762,y:60.1687
x:37.05762,y:63.73828

2019-04-08 11:19:26,217 [17] DEBUG Zoo.CaptchaCore.GraphicsStrategies.AGraphicsStrategy [(null)] - 4 Rectangle[x:53,y:40,width:27,height:36] Points:x:56.6377,y:76.26367
x:56.6377,y:40.47266
x:83.17578,y:40.47266
x:83.17578,y:47.52734
x:63.86426,y:48.52734
x:63.86426,y:55.46191
x:81.83301,y:57.46191
x:81.83301,y:62.49219
x:63.86426,y:59.49219
x:63.86426,y:71.2334
x:83.85938,y:69.2334
x:83.85938,y:76.26367

2019-04-08 11:19:26,218 [17] DEBUG Zoo.CaptchaCore.GraphicsStrategies.AGraphicsStrategy [(null)] - 5 Rectangle[x:80,y:40,width:18,height:37] Points:x:80.58594,y:50.33594
x:84.39453,y:50.33594
x:84.39453,y:48.38281
x:84.39453,y:45.20386
x:84.62646,y:43.57574
x:85.09033,y:42.50153
x:85.5542,y:41.42731
x:86.40869,y:40.55298
x:87.65381,y:39.87701
x:88.89893,y:40.20258
x:90.47363,y:40.86383
x:92.37793,y:40.8623
x:94.33105,y:41.86383
x:96.24451,y:43.1568
x:98.11523,y:42.74121
x:97.1875,y:46.52637
x:96.09802,y:47.26697
x:95.04822,y:47.13727
x:94.03809,y:48.13574
x:93.04626,y:48.13727
x:92.33368,y:48.3692
x:91.90186,y:47.83307
x:91.47156,y:48.29694
x:91.25488,y:49.18805
x:91.25488,y:51.50488
x:91.25488,y:53.33594
x:96.38184,y:51.33594
x:96.38184,y:54.73145
x:91.25488,y:57.73145
x:91.25488,y:77.26367
x:84.39453,y:76.26367
x:84.39453,y:56.73145
x:80.58594,y:55.73145

2019-04-08 11:19:26,218 [17] DEBUG Zoo.CaptchaCore.GraphicsStrategies.AGraphicsStrategy [(null)] - 6 Rectangle[x:98,y:40,width:33,height:39] Points:x:118.2881,y:64.10449
x:118.2881,y:60.07422
x:133.8643,y:56.07422
x:133.8643,y:73.33203
x:132.3506,y:74.7984
x:130.1579,y:76.08929
x:127.2847,y:76.20319
x:124.413,y:77.31708
x:121.5031,y:77.87402
x:118.5566,y:76.87402
x:114.8137,y:75.87402
x:111.5498,y:76.09125
x:108.7666,y:75.51959
x:105.9834,y:74.94946
x:103.8929,y:73.70337
x:102.4922,y:69.78131
x:101.093,y:65.86078
x:100.3926,y:61.68237
x:100.3926,y:57.24609
x:100.3926,y:53.5199
x:101.1738,y:51.20874
x:102.7363,y:48.3111
x:104.2988,y:46.41498
x:106.5861,y:44.19177
x:109.5967,y:41.64453
x:111.8916,y:40.4574
x:114.748,y:38.86383
x:118.166,y:39.8623
x:122.6094,y:40.86383
x:126.0807,y:42.79614
x:128.5786,y:45.65924
x:131.078,y:46.52386
x:132.6848,y:48.09802
x:133.4004,y:51.38477
x:126.2227,y:53.72754
x:125.7191,y:51.97125
x:124.77,y:51.58423
x:123.3784,y:50.56647
x:121.9868,y:48.55023
x:120.2504,y:47.04059
x:118.166,y:47.03906
x:115.009,y:46.04059
x:112.4989,y:47.04156
x:110.6343,y:49.04352
x:108.7712,y:51.04547
x:107.8389,y:54.01636
x:107.8389,y:58.95312
x:107.8389,y:64.2027
x:108.7834,y:68.38873
x:110.6709,y:69.51276
x:112.5599,y:70.63678
x:115.0334,y:71.69879
x:118.0928,y:70.69727
x:119.6064,y:69.69879
x:121.1247,y:69.40277
x:122.646,y:68.80768
x:124.1688,y:68.21411
x:125.475,y:68.4939
x:126.5645,y:67.64551
x:126.5645,y:62.10449

